k,lambda,learn_rate,tolerance,auprc,auroc,sn,sp,prec,acc,f1
3,20.0,0.01,0.001,0.02484102,0.49999872,0.99991817,0.00184723,0.04976477,0.05143266,0.0948109
3,20.0,0.001,0.0001,0.02484112,0.49999872,0.99998363,0.00250689,0.04979914,0.0520628,0.09487357
3,20.0,0.001,0.001,0.02532053,0.49378057,0.99959085,0.05155898,0.05222069,0.09865841,0.09925603
3,20.0,0.0001,0.0001,0.02540401,0.49318977,0.99949265,0.05657533,0.05247889,0.10342066,0.09972184
3,20.0,0.0001,0.001,0.03412976,0.46426045,0.92484698,0.32192512,0.06655839,0.35187905,0.12417993
3,20.0,1e-05,0.0001,0.03449561,0.47713909,0.91250696,0.33136575,0.06659492,0.36023758,0.12413076
3,20.0,1e-05,0.001,0.04600399,0.50375401,0.85851527,0.20977808,0.05374412,0.24200816,0.10115576
5,0.01,0.1,0.0001,0.4285522,0.51502851,0.79529312,0.25096982,0.0525884,0.27801249,0.0986534
5,0.01,0.1,0.001,0.42855009,0.56033542,0.77274066,0.60084122,0.0919057,0.6093814,0.16427356
5,0.01,0.01,0.0001,0.42857298,0.56219223,0.76567052,0.63764291,0.09947714,0.64400348,0.17607795
5,0.01,0.01,0.001,0.06571112,0.63912194,0.53885307,0.83397959,0.14506578,0.81931733,0.22859186
5,0.01,0.001,0.0001,0.09645187,0.70551076,0.52670944,0.85248097,0.15729717,0.83629622,0.24224884
5,0.01,0.001,0.001,0.04955354,0.50223694,0.91502733,0.09073237,0.04998024,0.13168439,0.09478328
5,0.01,0.0001,0.0001,0.04947392,0.50169438,0.96563124,0.03727397,0.04982372,0.08339594,0.0947582
5,0.01,0.0001,0.001,0.04947392,0.50169438,0.96563124,0.03727397,0.04982372,0.08339594,0.0947582
5,0.01,1e-05,0.0001,0.04946473,0.50165954,0.96558214,0.03722948,0.04981913,0.08335122,0.09474966
5,0.01,1e-05,0.001,0.04946473,0.50165954,0.96558214,0.03722948,0.04981913,0.08335122,0.09474966
5,0.1,0.1,0.0001,0.42854615,0.51493422,0.79544041,0.2352996,0.05157539,0.26312811,0.09686986
5,0.1,0.1,0.001,0.42854695,0.57927355,0.78666819,0.47664912,0.07285661,0.49205126,0.133362
5,0.1,0.01,0.0001,0.42855692,0.57949129,0.7910543,0.41154094,0.06566247,0.43039565,0.12125964
5,0.1,0.01,0.001,0.1147996,0.61931158,0.60469379,0.8167368,0.14711996,0.80620223,0.23666107
5,0.1,0.001,0.0001,0.09395584,0.66785822,0.4760728,0.87514481,0.16620671,0.85531841,0.24639271
5,0.1,0.001,0.001,0.0818797,0.51682212,0.16190959,0.96781168,0.20821232,0.92777344,0.18216469
5,0.1,0.0001,0.0001,0.13410495,0.52126687,0.14117377,0.98432209,0.32007421,0.94243341,0.19592968
5,0.1,0.0001,0.001,0.04944408,0.50171526,0.96571307,0.03730306,0.04982917,0.08342765,0.09476844
5,0.1,1e-05,0.0001,0.04946189,0.50165751,0.96275081,0.04022235,0.0498275,0.08605474,0.09475113
5,0.1,1e-05,0.001,0.04946189,0.50165751,0.96275081,0.04022235,0.0498275,0.08605474,0.09475113
5,0.5,0.1,0.0001,0.42857027,0.51537574,0.79239632,0.36424454,0.0611732,0.38551566,0.11357814
5,0.5,0.1,0.001,0.42857027,0.57971089,0.79129979,0.40104023,0.0646044,0.42042882,0.11945601
5,0.5,0.01,0.0001,0.42856764,0.57965996,0.79129979,0.40104023,0.0646044,0.42042882,0.11945601
5,0.5,0.01,0.001,0.4330183,0.61351342,0.77400085,0.55920457,0.08407869,0.56987592,0.15168052
5,0.5,0.001,0.0001,0.43431004,0.66141537,0.69660568,0.70556855,0.11007295,0.70512326,0.19010655
5,0.5,0.001,0.001,0.04591747,0.52088742,0.88095316,0.27874327,0.06002116,0.30866182,0.11238529
5,0.5,0.0001,0.0001,0.04551572,0.51715214,0.87704167,0.27963908,0.05984047,0.3093188,0.1120367
5,0.5,0.0001,0.001,0.04930927,0.50173376,0.87295015,0.13610027,0.05017563,0.17270791,0.09489676
5,0.5,1e-05,0.0001,0.04945208,0.50165655,0.96563124,0.03724403,0.04982225,0.08336748,0.09475554
5,0.5,1e-05,0.001,0.04945208,0.50165655,0.96563124,0.03724403,0.04982225,0.08336748,0.09475554
5,1.0,0.1,0.0001,0.02845105,0.50178984,0.99759419,0.02241486,0.05064664,0.07086301,0.0963992
5,1.0,0.1,0.001,0.02799607,0.5023898,0.99364996,0.1187779,0.05566685,0.16224266,0.10542739
5,1.0,0.01,0.0001,0.02767905,0.50342892,0.99379726,0.12725342,0.05618494,0.17030442,0.10635693
5,1.0,0.01,0.001,0.02792048,0.49047931,0.97450165,0.24065905,0.06287346,0.27711728,0.11812563
5,1.0,0.001,0.0001,0.04392622,0.61565844,0.7392884,0.51397528,0.07366277,0.52516912,0.13397615
5,1.0,0.001,0.001,0.04066022,0.50315141,0.89853033,0.31704738,0.06435422,0.34593619,0.12010623
5,1.0,0.0001,0.0001,0.04200134,0.50449161,0.89429151,0.31823665,0.06417467,0.34685579,0.11975564
5,1.0,0.0001,0.001,0.04914043,0.50175684,0.87373572,0.13689255,0.05026229,0.17349985,0.0950564
5,1.0,1e-05,0.0001,0.04943728,0.50167789,0.96576217,0.03726285,0.04982959,0.08339188,0.09476945
5,1.0,1e-05,0.001,0.04943728,0.50167789,0.96576217,0.03726285,0.04982959,0.08339188,0.09476945
5,5.0,0.1,0.0001,0.0248407964,0.500002995,0.999950902,0.000362772058,0.0496960844,0.0500235795,0.0946863946
5,5.0,0.1,0.001,0.02484399,0.50006026,0.99972178,0.00178648,0.0497526,0.05136517,0.09478794
5,5.0,0.01,0.0001,0.0248408,0.50000299,0.99952538,0.00347029,0.04982318,0.05295557,0.09491513
5,5.0,0.01,0.001,0.02495636,0.50242641,0.99401002,0.07737483,0.05332022,0.12291443,0.10121132
5,5.0,0.001,0.0001,0.02503172,0.50398605,0.99798697,0.04204391,0.05165011,0.08953638,0.09821707
5,5.0,0.001,0.001,0.02893305,0.4435407,0.95381493,0.30597,0.06703111,0.33815576,0.12525939
5,5.0,0.0001,0.0001,0.03028032,0.41647171,0.97965697,0.23990869,0.06312662,0.27666032,0.1186103
5,5.0,0.0001,0.001,0.04397937,0.5051092,0.86519263,0.28949296,0.05985011,0.31809445,0.11195563
5,5.0,1e-05,0.0001,0.04345911,0.50042746,0.8687768,0.28225634,0.05951341,0.31139542,0.11139592
5,5.0,1e-05,0.001,0.04930201,0.50170877,0.87313018,0.13600958,0.05018045,0.17263066,0.09490645
5,10.0,0.1,0.0001,0.0248407964,0.500002995,0.0,1.6256295e-05,0.0496820372,0.0496967184,0.0946611173
5,10.0,0.1,0.001,0.0248407964,0.500002995,0.0,1.6256295e-05,0.0496820372,0.0496967184,0.0946611173
5,10.0,0.01,0.0001,0.0248408,0.50000299,0.99973814,0.00148275,0.04973899,0.05107734,0.09476332
5,10.0,0.01,0.001,0.0248408,0.50000299,0.99855979,0.01980616,0.05056508,0.06843188,0.09625595
5,10.0,0.001,0.0001,0.0248408,0.50000257,0.99823246,0.02574484,0.05084181,0.07405926,0.09675567
5,10.0,0.001,0.001,0.02639107,0.49685593,0.99690681,0.11569434,0.05565525,0.1594741,0.10542485
5,10.0,0.0001,0.0001,0.02810519,0.53386407,0.99716867,0.11235838,0.05547144,0.15631688,0.10509648
5,10.0,0.0001,0.001,0.03995462,0.51242089,0.90173808,0.32273879,0.06507643,0.35150421,0.12139225
5,10.0,1e-05,0.0001,0.03966725,0.49603433,0.89702465,0.3223957,0.06472763,0.35094399,0.1207427
5,10.0,1e-05,0.001,0.04912932,0.50170565,0.87399758,0.13678218,0.05027049,0.17340797,0.09507261
5,15.0,0.1,0.0001,0.0248407964,0.500002995,0.0,0.000288335338,0.0496948866,0.0499552802,0.0946844407
5,15.0,0.1,0.001,0.0248407964,0.500002995,0.999950902,0.000558703193,0.0497053426,0.0502097766,0.094703199
5,15.0,0.01,0.0001,0.0248408,0.50000299,0.9999018,0.00101217,0.04972446,0.05063827,0.09473768
5,15.0,0.01,0.001,0.0248408,0.50000299,0.99931262,0.00781928,0.05002052,0.05707793,0.0952722
5,15.0,0.001,0.0001,0.0248408,0.50000299,0.99921443,0.01048189,0.05014369,0.05960338,0.09549513
5,15.0,0.001,0.001,0.02651202,0.52024859,0.99919806,0.06072582,0.05268385,0.10735031,0.10009033
5,15.0,0.0001,0.0001,0.02582083,0.49670492,0.99909987,0.06687583,0.05300774,0.1131899,0.10067416
5,15.0,0.0001,0.001,0.03634078,0.49297283,0.90594416,0.33596971,0.06657574,0.36428676,0.12403634
5,15.0,1e-05,0.0001,0.03771992,0.47406695,0.89961049,0.33808816,0.06633872,0.3659853,0.12356552
5,15.0,1e-05,0.001,0.04765997,0.50099773,0.86234493,0.16619238,0.05129441,0.20077812,0.09682918
5,20.0,0.1,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
